2_8 (5415.08,6804.75) 18840.000000006334
5_21 (4777.56,3677.43) 18840.000000006334
5_23 (685.15,3513.71) 18878.200000005778
2_5 (4757.86,5123.39) 18881.200000005734
5_22 (2364.28,2844.39) 18893.300000005558
1_1 (1798.28,5936.50) 18897.2000000055
2_9 (5266.56,6381.02) 18899.800000005464
2_8 (5539.88,7248.00) 18900.00000000546
4_18 (5556.55,7266.24) 18900.00000000546
1_2 (4659.66,3294.84) 18908.40000000534
5_22 (2662.05,2729.44) 18953.300000004685
2_7 (5081.85,96.28) 18953.400000004684
5_23 (253.36,3820.37) 18955.80000000465
2_5 (4515.28,4877.38) 18958.0
4_16 (4668.90,3355.50) 18959.80000000459
4_18 (5420.26,6826.81) 18959.90000000459
1_3 (1748.59,5098.79) 18960.000000004587
2_8 (5640.64,7751.05) 18960.000000004587
2_7 (5190.47,30.96) 19004.800000003936
2_5 (4365.94,4766.67) 19014.300000003797
5_23 (26.01,3958.65) 19014.500000003794
1_1 (1506.44,5440.66) 19015.300000003783
2_9 (5415.08,6804.75) 19019.800000003717
4_18 (5276.88,6407.32) 19019.900000003716
1_3 (1491.47,5409.69) 19020.000000003714
1_2 (4899.27,3213.83) 19029.700000003573
5_22 (3101.00,2395.21) 19073.30000000294
1_1 (1718.63,5120.42) 19075.000000002914
4_15 (3268.58,4966.02) 19075.30000000291
2_9 (5539.88,7248.00) 19079.800000002844
4_16 (4329.62,3383.92) 19079.800000002844
2_7 (5088.33,92.47) 19126.20000000217
3_10 (2586.74,1155.40) 19133.10000000207
5_22 (3641.05,2360.43) 19133.300000002066
1_0 (7561.71,2343.04) 19137.700000002
2_5 (3984.73,4276.77) 19139.10000000198
2_9 (5640.64,7751.05) 19139.80000000197
4_18 (5172.72,6068.84) 19139.90000000197
1_3 (1783.67,5916.99) 19140.000000001968
1_2 (4960.13,2870.26) 19147.300000001862
3_10 (2977.85,1013.31) 19193.000000001197
1_1 (2266.48,4665.30) 19196.10000000115
4_15 (3092.70,4726.37) 19196.10000000115
1_0 (7237.87,2406.66) 19197.70000000113
4_16 (3960.28,3501.83) 19199.800000001098
4_18 (5047.65,5634.92) 19199.900000001096
1_3 (1822.03,6535.84) 19200.000000001095
1_2 (5275.30,2706.96) 19206.000000001008
